Unnamed: 0,image,label,texts
0,rumor_images/a71ac854gw1dytin2zmk9j.jpg,0,"A bucket of consumption oil is equivalent to more than 40 yuan in Chinese supermarkets. It was 1.6 US dollars in Wal -Mart in New York, and Christmas fell to $ 1"
1,rumor_images/3ba161e7jw1e4i6j4ep61j211n0r4juz.jpg,0,"A child in Changsha, Hunan picked up 30,000 yuan on the way to school. The unwavering children went to the school to inform the teacher that they were praised."
2,rumor_images/006ajvCngw1ex4jjl2pwlj30c8096wf7.jpg,0,"Our school needs children's clothes, new and old. The Ali region in Tibet is the highest altitude area in the world."
3,rumor_images/6112c76ajw1e591p39mpej20hw094mxh.jpg,0,"Pay attention to the color bar at the bottom of the back of the toothpaste tube. Try to choose green and blue as much as possible. If it is a black strip, throw"
4,rumor_images/a5404163jw1e2iljwbrztj.jpg,0,"Coca -Cola admits that its (fruit orange) contains the disabled pesticide ""multi -bacterial spirit"" Multi -b bacterial spirit can cause cancer such as cerebral palsy and liver"
5,rumor_images/b7009851jw1eui8agp0bmj20no0vk7bl.jpg,0,"Wangzi Milk, Coca -Cola, Shuangxiu, Wahaha AD Calcium Milk, Future Star, QQ Star, Beautiful Sauce Fruit Milk Pineapple flavor. All"
6,rumor_images/60e9e5ebjw1dw5pitsxomj.jpg,0,"The Ministry of Finance, the Central Bank, the Ministry of Supervisory Department and the Audit Office have set up a task force to investigate 80 tons of gold reserves in eight provinces and cities"
7,rumor_images/67747bd2jw1entsej8zo0j20bx0bo0td.jpg,0,"35, magical number. 35 people died in the trains; 35 people die in Chongqing heavy rain; 35People died in Pingdingshan Mine in Henan. 35People"
8,rumor_images/5fd72d2cjw1e0stdrdiioj.jpg,0,"Sichuan Tibetan area requires the clothes and shoes of a 41 -year -old child. If you do n’t have a suitable clothes, you can mail it."
9,rumor_images/9d18bd0ejw1eqr1e1phy3j20go0m8abq.jpg,0,"Wang Zi milk., Coca -Cola, Shuang crooked. AD calcium milk, Domeiz, Abbott, beautiful juice fruit grain milk pineapple flavor. All contain Botox."
10,rumor_images/6d0dd6cdjw1enbwjdver1j20in0etq6h.jpg,0,"A three-year-old girl was abducted near the Jinxiu Garden District, Linyi City. Her dad's mobile phone number was taken away by a man in his for"
11,rumor_images/83288705jw1dwsdyl15p3j.jpg,0," Atlantic salmon in Norway, detecting paramine hemolytic vibrations, was destroyed. The cookies (biscuits) produced by Danish Qixin Blue Tank Co., Ltd. were exceeded"
12,rumor_images/87859e2cgw1e40o13cgiuj20pf0dvwic.jpg,0,The Red Cross must explain!
13,rumor_images/b625ffa8jw1eu65w1hwq4j20gy0qodiv.jpg,0,"More than 1,000 foreigners who have stolen children in Henan Province. More than 20 Zhengzhou who have stealed children to grab children. 110 has been confirmed that it is not"
14,rumor_images/3ee85c1bjw1dwsuvse3ezj.jpg,0,"I really started, verify!"
15,rumor_images/735a3772jw1e2wms9139rj.jpg,0,The car of the deputy mayor of Huayin City is a poisonous hand to Xi'an Police!
16,rumor_images/48f175b8jw1e6nvv5mv20j20co0hsta8.jpg,0,The daughter of friends and colleagues was abducted near Drun Haodo Supermarket. The little girl was more than three years old and could accurately say her dad's mobile phone number.
17,rumor_images/89671b19jw1dysdzhua11j.jpg,0,Wang Pingjian suggested prohibiting rural children from studying universities? How could anyone say that?IntersectionWhat do you think?Intersection
18,rumor_images/005BLhZOjw1erxsysoxffj30hp0bpt9s.jpg,0,"Wangzi Milk, Coca -Cola, Shuangxiu, Wahaha AD Calcium Milk, Future Star, QQ Star, BeautyJuoyanti fruit granules, pineapple"
19,rumor_images/5355c1c6jw1euh5v8lx8jj20cn0f73zj.jpg|rumor_images/5355c1c6jw1euh5v8xvbzj20bk08kmxs.jpg|rumor_images/5355c1c6jw1euh5v93vhyj20bl0bqmy5.jpg|rumor_images/5355c1c6jw1euh5v9cgb4j20cl09smyf.jpg,0,"A KFC's KFC sold the fried chicken legs, which caused customer dissatisfaction, and then caused contradictions. The relevant person in charge of Deki said that the loss of more than"
20,rumor_images/7b498fb7jw1dwnsdizfnlj.jpg,0,"Reprinted quickly, let the little Japanese box office 0"
21,rumor_images/63d1db5ajw1e3x4c9949bj20hs0iwq5p.jpg,0,Sichuan giant panda sees rescuers clinging to [crying] [crying]
22,rumor_images/46110911jw1e4nnqn6wbuj20c80e8ab1.jpg,0,"The surviving Taiwanese fishermen said that they have been listening to the mainland broadcast, thinking that the mainland's international status is strong, and it is safer to hang the mainland flag."
23,rumor_images/c0cfdb74jw1eh08mxpd4nj20hs0npdh6.jpg,0,Bai Yaqian's test site No. 013 No. 11 admission ticket number 204101311. Who lost the admission ticket!
24,rumor_images/653e5ee4jw1ee8oa6imzuj20f00qoaaw.jpg,0,"Malaysian Airlines flight from Malaysia to Beijing was lost for 17 hours. The aircraft was found to be severely damaged by the aircraft, but did not disintegrate."
25,rumor_images/736f0c7ejw1ev0vm7wn11j20hs0a03zp.jpg,0,"There are more than 1,300 people, and the explosion area is about one kilometer. The nearest residential community has been destroyed, and no life! The official said that only 12"
26,rumor_images/56737f8fjw1e2mrrtrl8ij.jpg,0,"Li Shuangjiang's son Li Tianyi was arrested for suspected rape. Professor Zhang Aiguo, the leader of Li's 76ers and Vice President of the University of Law,"
27,rumor_images/adca4b47tw1e2pbgtl9yjj.jpg,0,"There are 17 kinds of ""problem food"" exposure of 3.15 this year. 1 Lanzhou ramen, 2 casserole porridge 'ingredients' carcinogen, 3"
28,rumor_images/0067nydPjw1eu3ggi4e36j30dc0nqjry.jpg,0,"One, say that everything is on the street, and go downstairs at the door of the house."
29,rumor_images/005DbgtFjw1ervslpepu7j30b40b40t3.jpg,0,"QQ star, beautiful juice -source fruit grain milk and pineapple flavor. All contain Botox. Those who have children turn it down!"
30,rumor_images/00639SK7jw1equuvv70fnj30dc0nqwf0.jpg,0,"Wang Zi milk., Coca -Cola, Shuang crooked. AD calcium milk, Domeiz, Abbott, beautiful juice fruit grain milk pineapple flavor. All contain Botox."
31,rumor_images/d014483djw1es8mlrvpa1j20g40hamxp.jpg,0,"Wangzi Milk, Coca -Cola, Shuangxiu, Wahaha Ad Calcium Milk, Future Star, QQ Star, Beautiful Sauce Fruit Milk Pineapple flavor. All"
32,rumor_images/730c081egw1e318495wlyj.jpg,0,This is a 94 -year -old grandmother. The old wife died. The two sons worked outside. They picked up garbage every day and picked up at two o'clock in the
33,rumor_images/005QhSMXjw1etecd8m3r3j30f00qoq5x.jpg,0,Zhou Ji Fanqiao has come to more than 100 foreigners who steal their children. Ni Temple has lost two. People with black masks and black pants.
